country,city,state,address,phone,email
India,Chennai,Tamil Nadu,"NIBAV Building, Mezzanine floor, No 11 L.B.Road, Adyar, Chennai 600020",+91 78248 12121,info@nibavlifts.com
India,Bangalore,Karnataka,"632, 2nd main, 2nd Cross Rd, RBI Layout, Phase 7, J. P. Nagar, Bengaluru 560078",+91 78248 12121,info@nibavlifts.com
India,Hyderabad,Telangana,"Door No.8-2-619/B, Road No 11, Banjara Hills, Hyderabad 500034",+91 78248 12121,info@nibavlifts.com
India,Bhubaneswar,Odisha,"No 024, UG Floor, DLF Cyber City, Chandaka Industrial Estate, Patia, Bhubaneswar 751024",+91 78248 12121,info@nibavlifts.com
India,Visakhapatnam,Andhra Pradesh,"28-10-17/1, Emandi Lakshmi Towers, Suryabagh, Visakhapatnam 530020",+91 78248 12121,info@nibavlifts.com
India,Chandigarh,Punjab,"Unit 1, Sixth Floor, Motia Royal Business Park, Ambala Highway, Zirakpur 140603",+91 78248 12121,info@nibavlifts.com
India,Kochi,Kerala,"Kb Jacob Road, Njaliparambu Junction, Opp Queens Kitchen, Fort Kochi 682001",+91 78248 12121,info@nibavlifts.com
India,Jaipur,Rajasthan,"MLA Tower Plot No 69/9, Veer Tejaji Road, Mansarovar 302020",+91 78248 12121,info@nibavlifts.com
India,Delhi,Delhi,"H-88, Satguru Ram Singh Rd, Block H, Kirti Nagar 110015",+91 78248 12121,info@nibavlifts.com
India,Pune,Maharashtra,"Shop No. 1, Pallazo Condominium, besides Wisdom World School, Amanora DSK Road 411028",+91 78248 12121,info@nibavlifts.com
India,Ahmedabad,Gujarat,"Shop No. 27, Gala Mari Gold, Opp. Shaligram Prime, Sobo Centre, Bopal 380058",+91 78248 12121,info@nibavlifts.com
India,Indore,Madhya Pradesh,"Plot No‑WB, 86A, Ring Road Scheme No. 94, Sector B, Bombay Hospital Service Road, Vijay Nagar 452010",+91 78248 12121,info@nibavlifts.com
India,Surat,Gujarat,"Zenon, Ground Floor, 2A, Opp. Unique Hospital, Opera House, Khatodra Wadi 395002",+91 78248 12121,info@nibavlifts.com
India,Mangalore,Karnataka,"Door No. 15‑6‑302/10, Gold Finch Complex, Balamata Circle 575003",+91 78248 12121,info@nibavlifts.com
India,Calicut,Kerala,"5/1561‑1(3), A6, Jawahar Nagar Colony Rd, Eranhipaalam, Kozhikode 673006",+91 78248 12121,info@nibavlifts.com
India,Guwahati,Assam,"Shop No 1, Sacred Heart Mansion, GNB Rd, Krishna Nagar, Chandmari 781003",+91 78248 12121,info@nibavlifts.com
India,Jamshedpur,Jharkhand,"Shop No 10, Akash Heights, Road No.17, Jawahar Nagar, Mango 832110",+91 78248 12121,info@nibavlifts.com
India,Raipur,Chhattisgarh,"Godriwala Complex, Ring Road No.1, beside Voltas Showroom, New Rajendra Nagar 492001",+91 78248 12121,info@nibavlifts.com
India,Nagpur,Maharashtra,"Unit 2, Ground Floor, Highway Castle, Plot No 5, Amravati Rd 440023",+91 78248 12121,info@nibavlifts.com
India,Dehradun,Uttarakhand,"GF Shop No 3, Green Plaza, Green View Blossom, Aman Vihar, Sahastradhara Road 248001",+91 78248 12121,info@nibavlifts.com
India,Vijayawada,Andhra Pradesh,"2nd & 3rd Floor, Gayatri Arcade, Poranki, above Raymond Highway 521134",+91 78248 12121,info@nibavlifts.com
India,Hubli,Karnataka,"Zenon, Ground Floor, 2A, Opp. Unique Hospital, Opera House, Khatodra Wadi 395002",+91 78248 12121,info@nibavlifts.com
India,Gurugram,Haryana,"Shop No 008, R9, Golf Course Ext Rd, Sector 67 122002",+91 78248 12121,info@nibavlifts.com
India,Patna,Bihar,"Shop No 5, Orchid Mall, Boring Rd, Anandpuri 800013",+91 78248 12121,info@nibavlifts.com
USA,Irvine,CA (HQ & Exp Ctr),"Suite 140, 16 B Goodyear, Irvine, CA 92618",(213) 322‑1024,info@nibavlifts.us
USA,Mountain View,CA,"1117 Independence Ave, Mountain View, CA 94043","Same as Irvine",info@nibavlifts.us
Canada,Markham,ON,"Unit 1–2651 John Street, Markham, ON L3R 2W5",+1 888‑844‑1966,info@nibavlifts.ca
Mexico,San Pedro Garza García,Nuevo León,"Rio Grijalva 151, Del Valle, San Pedro Garza García, Nuevo León",+52 81 4171 9097,admin@nibavlifts.com.mx
Australia,Melbourne,VIC,"50 Lorimar Street, Docklands, VIC 3008",+61 1300 954 387,info@nibavlifts.com.au
Australia,Sydney,NSW,"B8/13–15 Baker St, Banksmeadow, NSW 2019",+61 1300 954 387,info@nibavlifts.com.au
Australia,Brisbane,QLD,"Unit 22, Lot 22, 14 Ashtan Pl, Banyo QLD 4014",+61 1300 954 387,info@nibavlifts.com.au
Malaysia,Kuala Lumpur,,"G‑13 Fera Residence, No 47 Jalan 34/26, Wangsa Maju, 53300",+60 1669 99025,info@nibavlifts.my
Switzerland,Winterthur,,"Sulzerallee 80, 8409 Winterthur",+41 783 031 333,info@nibavlifts.ch
Kenya,Nairobi Area,,"Experience Centre (Kenya, East Africa)",+254 203 893223,info@nibavlifts.ke
Thailand,Bangkok Area,,"Experience Centre (Thailand, Asia Pacific)",+66 2 002 6622,info@nibavlifts.th
UAE,Dubai,Business Bay,"Shop No 10, The Pad by Omniyat, Marasi Dr, Business Bay, Dubai, UAE",+971 503 591 851,info@nibavlifts.ae 
