city,state,address,phone,email
Chennai,Tamil Nadu,"NIBAV Building, Mezzanine floor, No 11 L.B.Road, Adyar, Chennai 600020",+91 78248 12121,info@nibavlifts.com
Bangalore,Karnataka,"632, 2nd main, 2nd Cross Rd, RBI Layout, Phase 7, J. P. Nagar, Bengaluru 560078",+91 78248 12121,info@nibavlifts.com
Hyderabad,Telangana,"Door No.8-2-619/B, Road No 11, Banjara Hills, Hyderabad 500034",+91 78248 12121,info@nibavlifts.com
Bhubaneswar,Odisha,"No 024, UG Floor, DLF Cyber City, Chandaka Industrial Estate, Patia, Bhubaneswar 751024",+91 78248 12121,info@nibavlifts.com
Visakhapatnam,Andhra Pradesh,"28-10-17/1, Emandi Lakshmi Towers, Suryabagh, Visakhapatnam 530020",+91 78248 12121,info@nibavlifts.com
Chandigarh,Punjab,"Unit 1, Sixth Floor, Motia Royal Business Park, Ambala Highway, Zirakpur 140603",+91 78248 12121,info@nibavlifts.com
Kochi,Kerala,"Kb Jacob Road, Njaliparambu Junction, Opp Queens Kitchen, Fort Kochi 682001",+91 78248 12121,info@nibavlifts.com
Jaipur,Rajasthan,"MLA Tower Plot No 69/9, Veer Tejaji Road, Mansarovar 302020",+91 78248 12121,info@nibavlifts.com
Delhi,Delhi,"H-88, Satguru Ram Singh Rd, Block H, Kirti Nagar 110015",+91 78248 12121,info@nibavlifts.com
Pune,Maharashtra,"Shop No. 1, Pallazo Condominium, besides Wisdom World School, Amanora DSK Road 411028",+91 78248 12121,info@nibavlifts.com
Ahmedabad,Gujarat,"Shop No. 27, Gala Mari Gold, Opp. Shaligram Prime, Sobo Centre, Bopal 380058",+91 78248 12121,info@nibavlifts.com
Indore,Madhya Pradesh,"Plot No‑WB, 86A, Ring Road Scheme No. 94, Sector B, Bombay Hospital Service Road, Vijay Nagar 452010",+91 78248 12121,info@nibavlifts.com
Surat,Gujarat,"Zenon, Ground Floor, 2A, Opp. Unique Hospital, Opera House, Khatodra Wadi 395002",+91 78248 12121,info@nibavlifts.com
Mangalore,Karnataka,"Door No. 15‑6‑302/10, Gold Finch Complex, Balamata Circle 575003",+91 78248 12121,info@nibavlifts.com
Calicut,Kerala,"5/1561‑1(3), A6, Jawahar Nagar Colony Rd, Eranhipaalam, Kozhikode 673006",+91 78248 12121,info@nibavlifts.com
Guwahati,Assam,"Shop No 1, Sacred Heart Mansion, GNB Rd, Krishna Nagar, Chandmari 781003",+91 78248 12121,info@nibavlifts.com
Jamshedpur,Jharkhand,"Shop No 10, Akash Heights, Road No.17, Jawahar Nagar, Mango 832110",+91 78248 12121,info@nibavlifts.com
Raipur,Chhattisgarh,"Godriwala Complex, Ring Road No.1, beside Voltas Showroom, New Rajendra Nagar 492001",+91 78248 12121,info@nibavlifts.com
Nagpur,Maharashtra,"Unit 2, Ground Floor, Highway Castle, Plot No 5, Amravati Rd 440023",+91 78248 12121,info@nibavlifts.com
Dehradun,Uttarakhand,"GF Shop No 3, Green Plaza, Green View Blossom, Aman Vihar, Sahastradhara Road 248001",+91 78248 12121,info@nibavlifts.com
Vijayawada,Andhra Pradesh,"2nd & 3rd Floor, Gayatri Arcade, Poranki, above Raymond Highway 521134",+91 78248 12121,info@nibavlifts.com
Hubli,Karnataka,"Zenon, Ground Floor, 2A, Opp. Unique Hospital, Opera House, Khatodra Wadi 395002",+91 78248 12121,info@nibavlifts.com
Gurugram,Haryana,"Shop No 008, R9, Golf Course Ext Rd, Sector 67 122002",+91 78248 12121,info@nibavlifts.com
Patna,Bihar,"Shop No 5, Orchid Mall, Boring Rd, Anandpuri 800013",+91 78248 12121,info@nibavlifts.com
